%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1423459717828503357,0,1423459717828334450,15.089969635,-2.87374258041,10.0608787537,0.0176692566285,-0.840073462474,1.19974429388e-11,0.542184816292
1423459717828649843,0,1423459717828398423,15.0900697708,-2.87383508682,10.0610246658,0.017639964983,-0.840077546724,1.1997376293e-11,0.542179441814
1423459717848480537,0,1423459717848323720,15.0902633667,-2.87296533585,10.0615234375,0.0176704577835,-0.840074158435,1.19973684817e-11,0.542183698806
1423459717868475351,0,1423459717868329299,15.0887479782,-2.87447357178,10.0624551773,0.017663724064,-0.840101224736,1.1997072622e-11,0.542141978681
1423459717888502369,0,1423459717888340118,15.0885572433,-2.87710833549,10.0614824295,0.0176177190951,-0.840149192063,1.19971806293e-11,0.542069138625
1423459717908476721,0,1423459717908317237,15.0891904831,-2.87556886673,10.0608386993,0.0176492467408,-0.840109838647,1.19974407757e-11,0.542129101873
1423459717928504750,0,1423459717928326045,15.0887155533,-2.87612867355,10.0613832474,0.0176544265671,-0.840128213194,1.19973003026e-11,0.54210045805
1423459717928590958,0,1423459717928381916,15.0892457962,-2.87533473969,10.0609369278,0.0176459455174,-0.840104531541,1.19974291884e-11,0.542137433397
1423459717948476793,0,1423459717948327488,15.0891799927,-2.87338018417,10.0610599518,0.0176656675037,-0.84008842686,1.19972623277e-11,0.542161746388
1423459717968485427,0,1423459717968323762,15.089307785,-2.8750576973,10.0605726242,0.0176057838488,-0.840098631105,1.19973451451e-11,0.542147882399
1423459717988485979,0,1423459717988324875,15.0881080627,-2.87570858002,10.0621623993,0.0176359367291,-0.84013410262,1.1997060177e-11,0.542091932564
1423459718008457688,0,1423459718008336093,15.0883932114,-2.87460303307,10.0616111755,0.0176351417577,-0.840118105355,1.19968757518e-11,0.542116750184
1423459718028447095,0,1423459718028327151,15.0883131027,-2.87078118324,10.0631809235,0.0177043645208,-0.84007984168,1.19964295728e-11,0.542173786787
1423459718028665386,0,1423459718028376896,15.0891075134,-2.86926198006,10.0629701614,0.0177306586463,-0.840060280162,1.19964466668e-11,0.542203236284
1423459718048468456,0,1423459718048323725,15.0892238617,-2.86906218529,10.0630779266,0.0177294960784,-0.840054743746,1.19963712198e-11,0.542211852027
1423459718068474271,0,1423459718068328425,15.0888233185,-2.87449979782,10.0618314743,0.0176300854484,-0.840109288089,1.19968065302e-11,0.542130578509
1423459718088450859,0,1423459718088328427,15.0893115997,-2.87012815475,10.0629796982,0.0177331420295,-0.840043295341,1.19966660852e-11,0.542229469529
1423459718108476077,0,1423459718108328212,15.0898761749,-2.86735105515,10.0636301041,0.0177849021406,-0.840018548842,1.19963545121e-11,0.542266110741
1423459718128457826,0,1423459718128335352,15.0877275467,-2.87254929543,10.0645809174,0.0177243949756,-0.840109359424,1.19963554523e-11,0.542127392806
1423459718128475449,0,1423459718128393863,15.0882663727,-2.87412023544,10.0629348755,0.0176883625625,-0.840112965889,1.19966066758e-11,0.542122980858
1423459718148473413,0,1423459718148318265,15.0886297226,-2.87241697311,10.0628995895,0.0177054712654,-0.840086065545,1.19966757563e-11,0.542164106857
1423459718168487273,0,1423459718168327749,15.0888471603,-2.87281179428,10.0628728867,0.0176921154999,-0.840089885204,1.19966690873e-11,0.542158624231
1423459718188490378,0,1423459718188322934,15.0894527435,-2.8718354702,10.0618906021,0.0176832433573,-0.840067493461,1.19971364026e-11,0.542193608718
1423459718208485167,0,1423459718208320982,15.0898456573,-2.8735499382,10.0608978271,0.0176573599221,-0.840080013921,1.19975342064e-11,0.542175052774
1423459718228463395,0,1423459718228327683,15.0896320343,-2.87387728691,10.0619726181,0.0176704869782,-0.840088901508,1.19975060535e-11,0.542160853855
1423459718228614957,0,1423459718228384123,15.0890922546,-2.87267303467,10.0620641708,0.0177271903915,-0.840074314459,1.19976611745e-11,0.542181605099
1423459718248537401,0,1423459718248330682,15.0896015167,-2.87137436867,10.0622835159,0.0177275542715,-0.840060508003,1.19975496249e-11,0.542202984789
1423459718268511465,0,1423459718268327148,15.0907144547,-2.87016749382,10.0605630875,0.017711834987,-0.840027089132,1.19976915779e-11,0.542255272381
1423459718288516508,0,1423459718288328702,15.0902891159,-2.87070727348,10.0615997314,0.0177026032049,-0.840041593254,1.19974590539e-11,0.54223310434
1423459718308448619,0,1423459718308322517,15.0897531509,-2.87194752693,10.0620994568,0.0176906387512,-0.840067326864,1.19972576084e-11,0.542193625596
1423459718328487085,0,1423459718328344379,15.0894813538,-2.87231826782,10.062130928,0.0177003540341,-0.840078211461,1.19972890573e-11,0.542176443693
1423459718328764263,0,1423459718328403167,15.088766098,-2.87264680862,10.0626440048,0.0176883579958,-0.840098978972,1.19969333926e-11,0.542144655531
1423459718348476085,0,1423459718348327221,15.0907011032,-2.8716738224,10.0602760315,0.0176637013741,-0.840054417579,1.1997349112e-11,0.542214504749
1423459718368470624,0,1423459718368322759,15.0908594131,-2.87271547318,10.0596170425,0.017640463659,-0.8400730682,1.19975846469e-11,0.542186364755
1423459718388513621,0,1423459718388343093,15.0897312164,-2.87301373482,10.0610132217,0.0176524867448,-0.84009069596,1.19973370317e-11,0.542158659687
1423459718408504336,0,1423459718408329133,15.0898275375,-2.87389612198,10.0615491867,0.0176326397741,-0.840088586435,1.19971800148e-11,0.542162574285
1423459718428482637,0,1423459718428322782,15.0896730423,-2.87502670288,10.060997963,0.0176196479514,-0.84010735229,1.19973086046e-11,0.54213391762
1423459718428684644,0,1423459718428369415,15.0900945663,-2.87393903732,10.0604305267,0.0176243449222,-0.840076176634,1.19974044648e-11,0.542182072664
1423459718448485847,0,1423459718448322251,15.0903701782,-2.87346220016,10.0603570938,0.0176285712027,-0.840072461235,1.19973985026e-11,0.542187691997
1423459718468489186,0,1423459718468322754,15.0900144577,-2.87360239029,10.0606451035,0.0176172331095,-0.840072266995,1.19973005019e-11,0.542188361479
1423459718488476889,0,1423459718488321946,15.088850975,-2.87420082092,10.0623865128,0.0176390749492,-0.84010308413,1.19967346509e-11,0.542139899906
1423459718508499982,0,1423459718508333027,15.0889310837,-2.87359857559,10.0623617172,0.0176556394877,-0.840084030642,1.19968931891e-11,0.542168884993
1423459718528519429,0,1423459718528342200,15.0895872116,-2.87145614624,10.0625181198,0.0176808422463,-0.840061070108,1.19967704903e-11,0.542203639149
1423459718528751799,0,1423459718528400876,15.0894956589,-2.87382149696,10.0612459183,0.017624926791,-0.840091690348,1.1997293693e-11,0.542158015494
1423459718548484560,0,1423459718548322678,15.0894203186,-2.87453317642,10.0603542328,0.0176243625244,-0.840101482899,1.19972515116e-11,0.542142859657
1423459718568476286,0,1423459718568322243,15.0890512466,-2.87518143654,10.0602731705,0.0176149197501,-0.840109636756,1.1997335549e-11,0.542130531175
1423459718588479266,0,1423459718588326558,15.0887517929,-2.87423038483,10.0607719421,0.0176262065074,-0.840097388893,1.19971252504e-11,0.542149143705
1423459718608485787,0,1423459718608320269,15.0892391205,-2.87583994865,10.0598106384,0.0175792825107,-0.840117161771,1.19973760245e-11,0.542120026677
1423459718628497215,0,1423459718628334441,15.0900688171,-2.87254691124,10.0603971481,0.0176566906127,-0.840068751818,1.19974515467e-11,0.542192524382
1423459718628636944,0,1423459718628383758,15.090593338,-2.8707113266,10.0603237152,0.0176699419689,-0.840050268191,1.19973265443e-11,0.54222073002
1423459718648723173,0,1423459718648325605,15.0892515182,-2.87073159218,10.0623073578,0.0176856835151,-0.840067309516,1.19971478547e-11,0.542193814131
1423459718668477867,0,1423459718668321880,15.0897254944,-2.86877965927,10.0615549088,0.0177216901766,-0.840020395572,1.19969062549e-11,0.542265319488
1423459718688496060,0,1423459718688324469,15.0887975693,-2.86961317062,10.0629444122,0.0177460127462,-0.840054080357,1.19971314762e-11,0.5422123395
1423459718708469314,0,1423459718708320809,15.0895986557,-2.8678791523,10.061835289,0.0177431797999,-0.840027191627,1.1996901994e-11,0.542254088871
1423459718728489108,0,1423459718728344579,15.0895080566,-2.87147331238,10.0608062744,0.0176845661018,-0.840062513992,1.19972258007e-11,0.542201280621
1423459718728662924,0,1423459718728400469,15.0906648636,-2.87196040154,10.0588912964,0.0176571053647,-0.840048191499,1.19975692307e-11,0.542224365544
1423459718748500411,0,1423459718748333626,15.0900382996,-2.87171697617,10.0598859787,0.0176667729149,-0.840046028258,1.19971597232e-11,0.542227402058
1423459718768484040,0,1423459718768323995,15.0890722275,-2.8727285862,10.0606107712,0.0176687296558,-0.840073715513,1.19971760767e-11,0.5421844414
1423459718788474414,0,1423459718788330368,15.0875368118,-2.87542724609,10.0629663467,0.0176808737097,-0.840155731175,1.19968392071e-11,0.542056947266
1423459718808517099,0,1423459718808328935,15.087223053,-2.87469339371,10.0635890961,0.0176954747453,-0.840129688935,1.19966893325e-11,0.542096832626
1423459718828491661,0,1423459718828339435,15.0900621414,-2.87325119972,10.0603713989,0.0176503061681,-0.840069464615,1.19972698185e-11,0.542191627853
1423459718828664354,0,1423459718828386420,15.0901966095,-2.87507677078,10.0602474213,0.0176206304587,-0.840105124147,1.19976296758e-11,0.542137338471
1423459718848469820,0,1423459718848322632,15.0900259018,-2.87263584137,10.0607433319,0.0176777183712,-0.84005591566,1.19976057358e-11,0.542211726946
1423459718868493989,0,1423459718868326514,15.0903568268,-2.87337684631,10.0600681305,0.0176246573179,-0.840066157824,1.19977714759e-11,0.542197585694
1423459718888664285,0,1423459718888346904,15.0893278122,-2.87256765366,10.0610752106,0.0176749600004,-0.840070409112,1.19975247379e-11,0.542189361315
1423459718908488418,0,1423459718908330025,15.0910224915,-2.87124633789,10.0593299866,0.0176521393963,-0.840036347022,1.1997658719e-11,0.542242876999
1423459718928474534,0,1423459718928330744,15.090177536,-2.87322878838,10.0594758987,0.0176300439779,-0.840062699634,1.19976535909e-11,0.542202768558
1423459718928686745,0,1423459718928388892,15.0895719528,-2.8723347187,10.0600557327,0.0176604892518,-0.840058968519,1.19977715572e-11,0.542207558532
1423459718948481454,0,1423459718948325540,15.0895357132,-2.87164759636,10.0610513687,0.0176789719531,-0.84005892538,1.19973930825e-11,0.542207023046
1423459718968493823,0,1423459718968326420,15.0886964798,-2.87320446968,10.0620164871,0.0176703346237,-0.840074533039,1.1997106078e-11,0.542183122398
1423459718988478219,0,1423459718988331274,15.0896520615,-2.87281036377,10.0614309311,0.0176500736626,-0.840061778479,1.19972557019e-11,0.542203544104
1423459719008491990,0,1423459719008334311,15.0899343491,-2.87152934074,10.0615606308,0.0176746904374,-0.84005102652,1.19971576074e-11,0.542219400391
