%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1423459292188632249,0,1423459292188329859,10.1375598907,0.63765090704,11.4589233398,0.0870144889408,0.995662684237,-1.44239713831e-11,0.0329286794719
1423459292208459100,0,1423459292208329238,10.1374721527,0.637864172459,11.4591159821,0.0870205429167,0.995662439269,-1.44239627359e-11,0.0329200871805
1423459292208477293,0,1423459292208378508,10.1372814178,0.638038158417,11.4592189789,0.0870297992117,0.99566154572,-1.44238415249e-11,0.032922643024
1423459292228447741,0,1423459292228327969,10.1370449066,0.638096511364,11.4594116211,0.0870467133918,0.995660389563,-1.44238831013e-11,0.0329128902286
1423459292248450378,0,1423459292248324321,10.1370477676,0.638337314129,11.4595432281,0.0870479557031,0.995660231293,-1.4423740349e-11,0.0329143924488
1423459292268435161,0,1423459292268342042,10.137840271,0.638907074928,11.4588804245,0.0870171333486,0.995663432326,-1.44236173167e-11,0.0328990582439
1423459292288453899,0,1423459292288321601,10.137052536,0.639149665833,11.4598045349,0.0870592625806,0.9956596757,-1.44233041148e-11,0.032901291522
1423459292308494324,0,1423459292308323233,10.1371917725,0.639209091663,11.4596862793,0.0870558840066,0.99566021781,-1.44233615974e-11,0.0328938250985
1423459292308695006,0,1423459292308382322,10.1380052567,0.639261007309,11.458937645,0.0870309113251,0.995662836934,-1.44232639831e-11,0.0328806268533
1423459292328469450,0,1423459292328322048,10.1374397278,0.637768864632,11.4594812393,0.0870485740847,0.995659497033,-1.44240358496e-11,0.0329349619363
1423459292348495537,0,1423459292348325367,10.1368875504,0.636500835419,11.4601869583,0.0870705177443,0.995656597147,-1.44244171713e-11,0.0329646097741
1423459292368505165,0,1423459292368327822,10.1369352341,0.636676371098,11.4599704742,0.087049832855,0.995658198081,-1.44242746313e-11,0.0329708840248
1423459292388504522,0,1423459292388332494,10.1367607117,0.638643801212,11.4597587585,0.0870673686618,0.995658900835,-1.44234869549e-11,0.0329032901406
1423459292408502281,0,1423459292408330566,10.1370153427,0.638115942478,11.4595022202,0.0870562084052,0.995659632769,-1.44239084387e-11,0.0329106708033
1423459292408532836,0,1423459292408385788,10.1371660233,0.637340903282,11.4594221115,0.087039410052,0.995660437092,-1.44241402709e-11,0.0329307623369
1423459292428505503,0,1423459292428336532,10.1374425888,0.637408435345,11.4591093063,0.0870319698403,0.995661224363,-1.44239537662e-11,0.0329266233709
1423459292448449135,0,1423459292448317304,10.137137413,0.637291610241,11.4594621658,0.0870492267042,0.995659371209,-1.44240516107e-11,0.032937040769
1423459292468476499,0,1423459292468329288,10.1368370056,0.637034952641,11.4596061707,0.087067666903,0.995657082007,-1.44241065529e-11,0.0329574942707
1423459292488430157,0,1423459292488318046,10.137008667,0.637755513191,11.4594497681,0.0870524242992,0.995659494224,-1.44239675056e-11,0.0329248687878
1423459292508442876,0,1423459292508342823,10.1368875504,0.63879019022,11.4594736099,0.0870454900327,0.995661212197,-1.44237074095e-11,0.0328912327543
1423459292508492116,0,1423459292508396843,10.1371765137,0.639668881893,11.4592943192,0.0870408316808,0.995662744893,-1.44234221217e-11,0.0328571461258
1423459292528528552,0,1423459292528336385,10.1380205154,0.63779848814,11.4581375122,0.0870059911688,0.995664241213,-1.44241692256e-11,0.0329040464124
1423459292548495271,0,1423459292548318446,10.1381444931,0.638475596905,11.458114624,0.0870007635482,0.995665157178,-1.44239373004e-11,0.032890149344
1423459292568474019,0,1423459292568328899,10.1375293732,0.638574898243,11.4587268829,0.0870156529736,0.995664129458,-1.44239521888e-11,0.0328818711246
1423459292588455113,0,1423459292588326436,10.1376190186,0.640466690063,11.458486557,0.0870034085807,0.995666605156,-1.44230238444e-11,0.0328392794268
1423459292608457776,0,1423459292608358756,10.1379928589,0.639548361301,11.4582939148,0.0869947680475,0.995666716683,-1.44231659664e-11,0.0328587830242
1423459292608514537,0,1423459292608408471,10.1383533478,0.63834631443,11.4580965042,0.0869725374776,0.995667584039,-1.44235406218e-11,0.0328913334959
1423459292628460947,0,1423459292628336397,10.1386117935,0.63772714138,11.4578266144,0.0869671033818,0.995667491463,-1.44239949536e-11,0.032908500018
1423459292648457603,0,1423459292648328441,10.1379756927,0.63772803545,11.4585208893,0.0869910289633,0.995664943005,-1.44240362283e-11,0.0329223655109
1423459292668414814,0,1423459292668325415,10.1369171143,0.637847363949,11.4593276978,0.0870335343677,0.995661075869,-1.44239729047e-11,0.032926978208
1423459292688474291,0,1423459292688327124,10.1375551224,0.638060390949,11.4586954117,0.0870129751054,0.995663186118,-1.44240407727e-11,0.0329175025149
1423459292708504139,0,1423459292708329913,10.1377983093,0.638893663883,11.4584951401,0.0870101967349,0.995664683065,-1.44239006119e-11,0.0328795462511
1423459292708517185,0,1423459292708397740,10.1374120712,0.639052152634,11.4587678909,0.0870121954192,0.995664772405,-1.44237886831e-11,0.0328715506031
1423459292728478785,0,1423459292728322900,10.1369791031,0.639292240143,11.4592237473,0.0870366487699,0.995662729691,-1.44233818339e-11,0.0328686853343
