%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1423458803684072223,0,1423458803683581780,5.90359115601,-0.859209775925,12.1411943436,-0.129102017251,0.984847562708,1.49380766328e-11,0.11579269135
1423458803703718651,0,1423458803703585439,5.90319347382,-0.85938256979,12.1413516998,-0.129114015474,0.98484702238,1.49380443159e-11,0.115783908719
1423458803703825768,0,1423458803703635523,5.90369987488,-0.859504640102,12.1409912109,-0.129090139121,0.984850626488,1.49378434526e-11,0.115779875141
1423458803723733511,0,1423458803723578825,5.90356683731,-0.859373092651,12.1409664154,-0.129098534074,0.984847708989,1.49379704906e-11,0.115795330643
1423458803743697042,0,1423458803743575269,5.90264940262,-0.859160959721,12.1414194107,-0.129123879762,0.984844796463,1.4938152058e-11,0.115791841488
1423458803763753997,0,1423458803763577504,5.9034705162,-0.859019398689,12.1411304474,-0.129098391446,0.98484717239,1.49381160199e-11,0.115800053378
1423458803783725213,0,1423458803783583096,5.90282964706,-0.858917713165,12.1415271759,-0.129120418683,0.984844011729,1.49384739707e-11,0.115802374936
1423458803803778284,0,1423458803803580836,5.90363788605,-0.858951508999,12.141207695,-0.129086467973,0.984847996165,1.4938163413e-11,0.115806339364
1423458803803801242,0,1423458803803629219,5.90328216553,-0.858662426472,12.1413583755,-0.129099326228,0.984845677629,1.49383888136e-11,0.115811723167
1423458803823726073,0,1423458803823589782,5.90290546417,-0.858880460262,12.141500473,-0.129121933354,0.984843365503,1.49383481435e-11,0.11580618184
1423458803843722917,0,1423458803843581239,5.90244102478,-0.859335005283,12.1416940689,-0.129142495876,0.984841871514,1.49383355763e-11,0.115795957926
1423458803863712603,0,1423458803863578117,5.90284919739,-0.859101176262,12.1415224075,-0.129121743018,0.984843160767,1.49384639799e-11,0.115808135166
1423458803883717078,0,1423458803883576461,5.90316963196,-0.859871327877,12.1412858963,-0.129112506684,0.984848721637,1.49379410397e-11,0.115771136767
1423458803903731425,0,1423458803903581629,5.90336894989,-0.860188543797,12.1411619186,-0.129108185131,0.984850613213,1.4937641092e-11,0.115759864312
1423458803903866330,0,1423458803903637387,5.90290927887,-0.859709739685,12.1414699554,-0.129134537094,0.984845092571,1.49380929626e-11,0.115777437215
1423458803923736652,0,1423458803923571098,5.90227508545,-0.858874797821,12.1418972015,-0.129152354417,0.984839222484,1.49386135503e-11,0.115807492009
1423458803943735887,0,1423458803943573756,5.90269470215,-0.858311355114,12.1416931152,-0.129131696325,0.984839540135,1.49389205047e-11,0.115827825632
1423458803963784619,0,1423458803963619922,5.9024181366,-0.858427882195,12.141828537,-0.129146824281,0.984837774561,1.49389173422e-11,0.115825971075
1423458803983706326,0,1423458803983575088,5.90229177475,-0.858699977398,12.1419792175,-0.129163667079,0.984837307327,1.49387394793e-11,0.115811161823
