%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1423458817796215841,494,1423458817791631937,0.568,-0.039,0.248,0.0,0.0,0.0,1.0
1423458818059888837,495,1423458818026417016,0.581,-0.038,0.249,0.0,0.0,0.0,1.0
1423458818273495945,496,1423458818257122039,0.592,-0.042,0.248,0.0,0.0,0.0,1.0
1423458818487144453,497,1423458818485948085,0.595,-0.039,0.249,0.0,0.0,0.0,1.0
1423458818750822846,498,1423458818736701011,0.604,-0.041,0.249,0.0,0.0,0.0,1.0
1423458819014554497,499,1423458818989459037,0.616,-0.039,0.249,0.0,0.0,0.0,1.0
1423458819228199574,500,1423458819217272043,0.625,-0.037,0.249,0.0,0.0,0.0,1.0
1423458819491895822,501,1423458819446018934,0.633,-0.039,0.249,0.0,0.0,0.0,1.0
1423458819705600668,502,1423458819676783084,0.644,-0.04,0.248,0.0,0.0,0.0,1.0
1423458820069458644,503,1423458820067311048,0.655,-0.039,0.25,0.0,0.0,0.0,1.0
1423458820333187734,504,1423458820296050071,0.667,-0.036,0.248,0.0,0.0,0.0,1.0
1423458820546850281,505,1423458820535864114,0.677,-0.036,0.25,0.0,0.0,0.0,1.0
1423458820810533419,506,1423458820779589891,0.683,-0.036,0.249,0.0,0.0,0.0,1.0
1423458821024228350,507,1423458821006385087,0.691,-0.037,0.248,0.0,0.0,0.0,1.0
1423458821238029479,508,1423458821236208915,0.696,-0.037,0.25,0.0,0.0,0.0,1.0
1423458821501738328,509,1423458821465941905,0.709,-0.036,0.25,0.0,0.0,0.0,1.0
1423458821715405003,510,1423458821702590942,0.71,-0.035,0.248,0.0,0.0,0.0,1.0
1423458821929061537,511,1423458821926343917,0.728,-0.034,0.251,0.0,0.0,0.0,1.0
1423458822192749428,512,1423458822157170057,0.734,-0.037,0.249,0.0,0.0,0.0,1.0
1423458822406418138,513,1423458822388966083,0.736,-0.034,0.248,0.0,0.0,0.0,1.0
1423458822620067818,514,1423458822617691040,0.749,-0.036,0.25,0.0,0.0,0.0,1.0
1423458822883880645,515,1423458822858412027,0.764,-0.033,0.249,0.0,0.0,0.0,1.0
1423458823097550882,516,1423458823096137046,0.765,-0.033,0.249,0.0,0.0,0.0,1.0
1423458823361253011,517,1423458823336883068,0.776,-0.031,0.249,0.0,0.0,0.0,1.0
1423458823574962054,518,1423458823570662975,0.788,-0.034,0.248,0.0,0.0,0.0,1.0
1423458823838660158,519,1423458823799320936,0.793,-0.033,0.25,0.0,0.0,0.0,1.0
1423458824052302444,520,1423458824027071952,0.799,-0.033,0.251,0.0,0.0,0.0,1.0
1423458824316055853,521,1423458824267893075,0.811,-0.03,0.249,0.0,0.0,0.0,1.0
1423458824529694581,522,1423458824506649017,0.819,-0.029,0.251,0.0,0.0,0.0,1.0
1423458824793410796,523,1423458824747350931,0.826,-0.029,0.248,0.0,0.0,0.0,1.0
1423458825006980549,524,1423458824990106105,0.83,-0.03,0.248,0.0,0.0,0.0,1.0
1423458825270716528,525,1423458825226841926,0.846,-0.029,0.25,0.0,0.0,0.0,1.0
1423458825484344656,526,1423458825456579923,0.847,-0.029,0.25,0.0,0.0,0.0,1.0
